became assistant of	academicAdvisor	2	1	199	2	2.0
, who first used	academicAdvisor	1	1	199	1	1.0
, who was once a pupil of	academicAdvisor	1	1	199	1	1.0
, whose paper	academicAdvisor	1	1	199	1	1.0
actually attributed to	academicAdvisor	1	1	199	1	1.0
also attended lectures by	academicAdvisor	1	1	199	1	1.0
also famously once commented that	academicAdvisor	1	1	199	1	1.0
also worked under	academicAdvisor	1	1	199	1	1.0
attended lectures given by	academicAdvisor	1	1	199	1	1.0
became an editor of an ongoing multi-volume	academicAdvisor	1	1	199	1	1.0
began studying philosophy under	academicAdvisor	1	1	199	1	1.0
botany tutor	academicAdvisor	1	1	199	1	1.0
correctly attributes to	academicAdvisor	1	1	199	1	1.0
could have been	academicAdvisor	1	1	199	1	1.0
could only visit	academicAdvisor	1	1	199	1	1.0
created this monument to	academicAdvisor	1	1	199	1	1.0
developed an air pump for	academicAdvisor	1	1	199	1	1.0
did postdoctoral fellowships with	academicAdvisor	1	1	199	1	1.0
did postdoctoral studies with	academicAdvisor	1	1	199	1	1.0
drafted a fourth letter for	academicAdvisor	1	1	199	1	1.0
is an academic journal of	academicDiscipline	2	1	22	2	2.0
is an annual conference for	academicDiscipline	2	1	22	2	2.0
is a bi-annual academic journal of	academicDiscipline	1	1	22	1	1.0
is a biannual academic journal of	academicDiscipline	1	1	22	1	1.0
is a biannual peer-reviewed academic journal of	academicDiscipline	1	1	22	1	1.0
is a biennial guide to the	academicDiscipline	1	1	22	1	1.0
is a bimonthly academic journal of	academicDiscipline	1	1	22	1	1.0
is a peer-reviewed on	academicDiscipline	1	1	22	1	1.0
is an academic journal on the	academicDiscipline	1	1	22	1	1.0
is the oldest American	academicDiscipline	1	1	22	1	1.0
is a German academic journal publishing articles on	academicDiscipline	1	2	22	2	0.25
is the oldest	academicDiscipline	1	8	22	20	0.00625
was the first	academicDiscipline	1	106	22	961	9.81681817289e-06
is a	academicDiscipline	6	221	22	43553	3.74017697063e-06
is an	academicDiscipline	1	136	22	20296	3.62285237311e-07
is a posh area of	addressInRoad	1	1	1	1	1.0
can be reached through the	administrativeCollectivity	1	1	4	1	1.0
und	administrativeCollectivity	1	15	4	31	0.00215053763441
is a municipality in the	administrativeCollectivity	1	9	4	1352	8.21827744905e-05
is the	administrativeCollectivity	1	148	4	1476	4.57774848019e-06
is a quarter in the	administrativeDistrict	10	2	28	13	3.84615384615
became the 11th locality of	administrativeDistrict	1	1	28	1	1.0
has the westernmost point of	administrativeDistrict	1	1	28	1	1.0
is a locality in the southern	administrativeDistrict	1	1	28	1	1.0
is a locality within	administrativeDistrict	1	1	28	1	1.0
is a locality of the	administrativeDistrict	1	2	28	2	0.25
is a portion of the	administrativeDistrict	1	2	28	2	0.25
has been a quarter of	administrativeDistrict	1	3	28	3	0.111111111111
is the highest rise of	administrativeDistrict	1	3	28	3	0.111111111111
was annexed into	administrativeDistrict	1	6	28	14	0.0119047619048
is a locality in the	administrativeDistrict	1	4	28	30	0.00833333333333
became a part of	administrativeDistrict	2	18	28	67	0.00331674958541
was merged into	administrativeDistrict	1	16	28	49	0.00127551020408
is part of	administrativeDistrict	2	53	28	265	0.000284798860805
has	administrativeDistrict	1	49	28	127	0.000160694198939
became part of	administrativeDistrict	1	40	28	198	0.000126262626263
belongs to the	administrativeDistrict	1	39	28	297	8.63334196668e-05
is a trade union affiliate of the	affiliation	19	1	1371	19	19.0
is a constituent body of the	affiliation	18	1	1371	18	18.0
is a college of the	affiliation	6	1	1371	6	6.0
is the business school of the	affiliation	6	1	1371	6	6.0
is a constituent body of	affiliation	5	1	1371	5	5.0
is a seminary of the	affiliation	5	1	1371	5	5.0
is accredited by the	affiliation	27	5	1371	34	4.28823529412
is a constituent college of the	affiliation	15	3	1371	18	4.16666666667
is a constituent college of	affiliation	4	1	1371	4	4.0
is a public research university in the	affiliation	4	1	1371	4	4.0
is affiliated to	affiliation	13	3	1371	15	3.75555555556
is the business school of	affiliation	7	2	1371	8	3.0625
is a constituent university of the	affiliation	3	1	1371	3	3.0
is a member institution of the	affiliation	3	1	1371	3	3.0
is a regional campus in the	affiliation	3	1	1371	3	3.0
is accredited by	affiliation	3	1	1371	3	3.0
is administered through	affiliation	3	1	1371	3	3.0
is the business school at the	affiliation	3	1	1371	3	3.0
is the medical school of	affiliation	3	1	1371	3	3.0
reaffiliated with the	affiliation	3	1	1371	3	3.0
is signed with	agency	5	2	54	10	1.25
already received a more lucrative offer from	agency	1	1	54	1	1.0
also re-signed with	agency	1	1	54	1	1.0
has been retained exclusively by	agency	1	1	54	1	1.0
started modeling for	agency	1	1	54	1	1.0
was awarded a contract with	agency	1	1	54	1	1.0
has been signed with	agency	1	2	54	2	0.25
ran a campaign for	agency	1	2	54	2	0.25
is represented by	agency	5	6	54	34	0.122549019608
skipped	agency	1	3	54	3	0.111111111111
is represented by the	agency	1	3	54	4	0.0833333333333
walked into	agency	1	4	54	4	0.0625
was signed with	agency	1	4	54	15	0.0166666666667
is signed to	agency	3	8	54	82	0.0137195121951
was voted as	agency	1	5	54	19	0.0105263157895
is followed by	agency	1	7	54	19	0.00751879699248
was contracted by	agency	1	11	54	25	0.00363636363636
signed with	agency	11	17	54	3825	0.00186082276048
was discovered by	agency	2	19	54	133	0.00158290463
signed a three-year contract with	agency	1	7	54	281	0.000508388408744
flew leased	aircraftAttack	2	1	46	2	2.0
began acquiring the	aircraftAttack	1	1	46	1	1.0
began operating leased	aircraftAttack	1	1	46	1	1.0
equipped with the	aircraftAttack	1	1	46	1	1.0
had stated that the	aircraftAttack	1	1	46	1	1.0
made a transition from the	aircraftAttack	1	1	46	1	1.0
resorted with the	aircraftAttack	1	1	46	1	1.0
F2 standard	aircraftAttack	1	2	46	2	0.25
began inducting the	aircraftAttack	1	2	46	2	0.25
has grounded the entire	aircraftAttack	1	2	46	2	0.25
primarily used	aircraftAttack	1	2	46	2	0.25
deployed	aircraftAttack	2	5	46	6	0.133333333333
has operated the	aircraftAttack	1	3	46	3	0.111111111111
is equipped with the	aircraftAttack	1	3	46	3	0.111111111111
is the 4th largest operator of	aircraftAttack	1	3	46	3	0.111111111111
are known as	aircraftAttack	2	6	46	8	0.0833333333333
flying the	aircraftAttack	2	4	46	15	0.0666666666667
operated	aircraftAttack	2	6	46	11	0.0606060606061
flying	aircraftAttack	2	6	46	15	0.0444444444444
operates the	aircraftAttack	4	15	46	26	0.0410256410256
arrived equipped with	aircraftBomber	1	1	24	1	1.0
converted to the then new	aircraftBomber	1	1	24	1	1.0
currently flies the	aircraftBomber	1	1	24	1	1.0
initially used the	aircraftBomber	1	1	24	1	1.0
provided fighter protection for	aircraftBomber	1	1	24	1	1.0
serial Ñ	aircraftBomber	1	1	24	1	1.0
stationed	aircraftBomber	1	1	24	1	1.0
were equipped with American-built	aircraftBomber	1	1	24	1	1.0
equipped with	aircraftBomber	1	2	24	2	0.25
were equipped with	aircraftBomber	1	2	24	2	0.25
operated	aircraftBomber	4	6	24	11	0.242424242424
flying	aircraftBomber	3	6	24	15	0.1
flew	aircraftBomber	1	8	24	9	0.0138888888889
operating	aircraftBomber	1	6	24	17	0.00980392156863
using	aircraftBomber	1	23	24	30	0.00144927536232
converted to	aircraftBomber	1	8	24	92	0.00135869565217
is currently the	aircraftBomber	1	17	24	48	0.00122549019608
including	aircraftBomber	1	49	24	184	0.00011091393079
was a	aircraftBomber	1	156	24	18582	3.4497128459e-07
are deploying	aircraftElectronic	1	1	11	1	1.0
commenced transition from the	aircraftElectronic	1	1	11	1	1.0
flies the	aircraftElectronic	2	2	11	3	0.666666666667
transitioned to the	aircraftElectronic	1	2	11	8	0.0625
deployed	aircraftElectronic	1	5	11	6	0.0333333333333
use the	aircraftElectronic	1	6	11	9	0.0185185185185
flying the	aircraftElectronic	1	4	11	15	0.0166666666667
flew	aircraftElectronic	1	8	11	9	0.0138888888889
operates the	aircraftElectronic	1	15	11	26	0.0025641025641
used	aircraftElectronic	1	46	11	109	0.000199441563622
transitioned to the	aircraftFighter	7	2	88	8	3.0625
fielded the	aircraftFighter	3	1	88	3	3.0
flying the	aircraftFighter	11	4	88	15	2.01666666667
all operating	aircraftFighter	2	1	88	2	2.0
began as a small	aircraftFighter	1	1	88	1	1.0
brought the speedier	aircraftFighter	1	1	88	1	1.0
favoured acquiring the	aircraftFighter	1	1	88	1	1.0
flying the radar-equipped	aircraftFighter	1	1	88	1	1.0
has built an indigenous	aircraftFighter	1	1	88	1	1.0
including a	aircraftFighter	1	1	88	1	1.0
is the second largest user of the	aircraftFighter	1	1	88	1	1.0
operated a small fleet of	aircraftFighter	1	1	88	1	1.0
piloting	aircraftFighter	1	1	88	1	1.0
received more	aircraftFighter	1	1	88	1	1.0
started the conversion process to	aircraftFighter	1	1	88	1	1.0
still flying	aircraftFighter	1	1	88	1	1.0
transitioned to the supersonic	aircraftFighter	1	1	88	1	1.0
used some	aircraftFighter	1	1	88	1	1.0
used these	aircraftFighter	1	1	88	1	1.0
using voice control in a	aircraftFighter	1	1	88	1	1.0
additionally provides	aircraftHelicopter	1	1	18	1	1.0
maintains a fleet of	aircraftHelicopter	1	1	18	1	1.0
recently received the	aircraftHelicopter	1	1	18	1	1.0
stated a	aircraftHelicopter	1	2	18	2	0.25
was re-equipped with	aircraftHelicopter	1	2	18	3	0.166666666667
operates the	aircraftHelicopter	5	15	18	26	0.0641025641026
operating the	aircraftHelicopter	1	5	18	6	0.0333333333333
operates a	aircraftHelicopter	1	6	18	6	0.0277777777778
operated the	aircraftHelicopter	1	6	18	8	0.0208333333333
operated	aircraftHelicopter	1	6	18	11	0.0151515151515
