is the B-side on the only single	aSide	1	1	3	1	1.0
is a single by	aSide	1	8	3	388	0.000322164948454
was	aSide	1	215	3	5351	8.692137527e-07
became assistant of	academicAdvisors	2	1	186	2	2.0
, who first used	academicAdvisors	1	1	186	1	1.0
, who was once a pupil of	academicAdvisors	1	1	186	1	1.0
, whose paper	academicAdvisors	1	1	186	1	1.0
actually attributed to	academicAdvisors	1	1	186	1	1.0
also attended lectures by	academicAdvisors	1	1	186	1	1.0
also famously once commented that	academicAdvisors	1	1	186	1	1.0
also worked under	academicAdvisors	1	1	186	1	1.0
attended lectures given by	academicAdvisors	1	1	186	1	1.0
became an editor of an ongoing multi-volume	academicAdvisors	1	1	186	1	1.0
began studying philosophy under	academicAdvisors	1	1	186	1	1.0
botany tutor	academicAdvisors	1	1	186	1	1.0
correctly attributes to	academicAdvisors	1	1	186	1	1.0
could have been	academicAdvisors	1	1	186	1	1.0
could only visit	academicAdvisors	1	1	186	1	1.0
created this monument to	academicAdvisors	1	1	186	1	1.0
developed an air pump for	academicAdvisors	1	1	186	1	1.0
did postdoctoral fellowships with	academicAdvisors	1	1	186	1	1.0
did postdoctoral studies with	academicAdvisors	1	1	186	1	1.0
drafted a fourth letter for	academicAdvisors	1	1	186	1	1.0
is a light rail station in	address	31	1	878	31	31.0
is a railway station located in	address	83	3	878	90	25.5148148148
is a high-speed railway station in	address	18	1	878	18	18.0
is a tram stop in	address	13	1	878	13	13.0
is a railway station in	address	109	6	878	183	10.820582878
is a subway station in	address	18	2	878	20	8.1
is the main railway station of	address	7	1	878	7	7.0
is a railway station in the	address	23	3	878	28	6.29761904762
is a metro station in	address	18	3	878	21	5.14285714286
is a bus station in	address	5	1	878	5	5.0
is a train station in the	address	5	1	878	5	5.0
is a train station located in	address	4	1	878	4	4.0
is the central railway station of	address	4	1	878	4	4.0
is a commuter train halt located in	address	3	1	878	3	3.0
is a light rail station in the	address	3	1	878	3	3.0
is a rapid transit station in	address	3	1	878	3	3.0
is an elevated rapid transit station located in	address	3	1	878	3	3.0
is the railway station of	address	3	1	878	3	3.0
was a historic railroad station in	address	3	1	878	3	3.0
is a co-ed residence hall at	address	2	1	878	2	2.0
is a posh area of	addresses	1	1	1	1	1.0
concessionaire	affiliates	1	1	6	1	1.0
franchisee	affiliates	1	1	6	1	1.0
has affiliations with	affiliates	1	1	6	1	1.0
that aired daily on	affiliates	1	1	6	1	1.0
is a sister channel of	affiliates	1	4	6	4	0.0625
include the	affiliates	1	19	6	27	0.00194931773879
is a trade union affiliate of the	affiliation	19	1	368	19	19.0
is a seminary of the	affiliation	5	1	368	5	5.0
is also a teaching hospital for the	affiliation	4	1	368	4	4.0
reaffiliated with the	affiliation	3	1	368	3	3.0
disaffiliated from the	affiliation	2	1	368	2	2.0
is a four-year liberal arts college of the	affiliation	2	1	368	2	2.0
is a regional organisation of the	affiliation	2	1	368	2	2.0
is the archdiocesan seminary of the	affiliation	2	1	368	2	2.0
is the official arm of the	affiliation	2	1	368	2	2.0
accepted the participation of the	affiliation	1	1	368	1	1.0
actively participates in the	affiliation	1	1	368	1	1.0
affiliated with the renowned	affiliation	1	1	368	1	1.0
are also faculty members at the	affiliation	1	1	368	1	1.0
became a faction within the	affiliation	1	1	368	1	1.0
became a general agency of the	affiliation	1	1	368	1	1.0
became the medical faculty of the new	affiliation	1	1	368	1	1.0
became the principal teaching hospital of the	affiliation	1	1	368	1	1.0
been affiliated with the	affiliation	1	1	368	1	1.0
being a coalition between the	affiliation	1	1	368	1	1.0
briefly broke away from the	affiliation	1	1	368	1	1.0
is a constituent body of the	affiliations	18	1	1441	18	18.0
is the business school of	affiliations	7	1	1441	7	7.0
carries the entire	affiliations	6	1	1441	6	6.0
is the business school of the	affiliations	6	1	1441	6	6.0
is a constituent body of	affiliations	5	1	1441	5	5.0
switched affiliations to	affiliations	5	1	1441	5	5.0
is accredited by the	affiliations	24	4	1441	30	4.8
is a constituent college of the	affiliations	15	3	1441	17	4.41176470588
clears the entire	affiliations	4	1	1441	4	4.0
is a constituent college of	affiliations	4	1	1441	4	4.0
is an affiliate of	affiliations	28	6	1441	35	3.73333333333
assuming the	affiliations	3	1	1441	3	3.0
is a member institution of the	affiliations	3	1	1441	3	3.0
is a member station of	affiliations	3	1	1441	3	3.0
is a public research university in the	affiliations	3	1	1441	3	3.0
is a regional campus in the	affiliations	3	1	1441	3	3.0
is administered through	affiliations	3	1	1441	3	3.0
is the business school at the	affiliations	3	1	1441	3	3.0
is the medical school of	affiliations	3	1	1441	3	3.0
switching to	affiliations	3	1	1441	3	3.0
Language Academy ,	agency	1	1	55	1	1.0
also re-signed with	agency	1	1	55	1	1.0
compiled at the	agency	1	1	55	1	1.0
council	agency	1	1	55	1	1.0
cultural institutes	agency	1	1	55	1	1.0
has been retained exclusively by	agency	1	1	55	1	1.0
has been standardized by the	agency	1	1	55	1	1.0
is regulated by the governmental	agency	1	1	55	1	1.0
is represented by the	agency	1	1	55	1	1.0
spelling recommended by the	agency	1	1	55	1	1.0
standard promulgated by the	agency	1	1	55	1	1.0
started modeling for	agency	1	1	55	1	1.0
walked into	agency	1	1	55	1	1.0
was awarded a contract with	agency	1	1	55	1	1.0
is signed with	agency	4	3	55	9	0.592592592593
is regulated by the	agency	3	4	55	6	0.375
has been signed with	agency	1	2	55	2	0.25
is defined by the	agency	1	2	55	2	0.25
is represented by	agency	5	6	55	33	0.126262626263
re-formed the	agency	1	2	55	5	0.1
can be compared with the	agencyType	1	1	12	1	1.0
is a parastatal	agencyType	1	1	12	1	1.0
is the national	agencyType	1	5	12	5	0.04
used	agencyType	1	41	12	79	0.000308737264588
is the	agencyType	1	170	12	1279	4.59918134572e-06
is a	agencyType	5	276	12	36041	2.51324075761e-06
was a	agencyType	1	186	12	15445	3.48096088444e-07
is an	agencyType	1	173	12	18432	3.13603885678e-07
flew leased	aircraftAttack	2	1	44	2	2.0
began acquiring the	aircraftAttack	1	1	44	1	1.0
began operating leased	aircraftAttack	1	1	44	1	1.0
equipped with the	aircraftAttack	1	1	44	1	1.0
had stated that the	aircraftAttack	1	1	44	1	1.0
made a transition from the	aircraftAttack	1	1	44	1	1.0
resorted with the	aircraftAttack	1	1	44	1	1.0
F2 standard	aircraftAttack	1	2	44	2	0.25
